description,category
Late Meeting Breakfast Meeting From Solid Oak Hub,Food & Dining
summit systems checkout for office setuup,Shopping
card purchase studio landlord monthly lease,Rent
Audience Test Flyer Printing From Facebook Ads,Marketing
metro station mobile pay airport trip,Transportation
atlas services lead generation launch promo,Marketing
POS business center rent pamyent,Rent
storage unit rent space rental order 989903,Rent
cloud at PARTNERS bill POS RIVERSTONE,Software
Metro Productivity App - Market Ref - Wuhfrl3,Software
Nov Monitor Stand Invoice,Office Supplies
Staples - desk accessories - inv 173568,Office Supplies
Misc Harbor Services Bank Card At Supplies,Shopping
ink warehouse pens and pencils feb bank card,Office Supplies
Parking Space Owner - Office Lease - Ref 6Hmr,Rent
broadband bill at sewer utility invoice,Utilities
Bank Card Ikea Store Pickup,Shopping
transsfer for bulk order mar,Shopping
Social Systems Ads Transfer Media Atlas At,Marketing
supply cabinet printer paper from Office Depot,Office Supplies
MARKETPLACE PAYOUT - DEPOSIT RECEIVED - TXN 603186,Income
space rental office rent from CLEARVIEW SYSTEMS,Rent
affiliate network subscription revenue may subs,Income
client project legal consultation from financial advisor,Professional Services
content marketing at tade POS show,Marketing
design invoice project invoice auth MFPCIJL,Professional Services
card supplies purchase general,Shopping
best buy subscription client materials,Shopping
Subway meeting client dinner late,Food & Dining
Meta Email Audience Marketing Test,Marketing
online service payment bill monthly,Utilities
officce restock printer paper from paper vendor,Office Supplies
DEC NOTEBOOKS ONLINE PAYMENT,Office Supplies
clearview group - phone plan - txn ucqb39bw,Utilities
nov service revenue POS,Income
invoice for invoice payment received sep,Income
AWS bank card seat renewal,Software
PROJECT PAYMENT REFUND SERVICES AT MILESTONE NORTHSTAR,Income
CONSULTING INCOME AT PARTNER RECURRING,Income
recurring project payout milestone stripe payment,Income
project milestone payment client payment txn 671480,Income
Wholesale Monthly Retainer Online Income Payment Buyer Apr,Income
Meetro Market Refund Automatic Debit,Utilities
online partner payment sub revenue,Income
pos northstar systems pens and pencils,Office Supplies
parking space owner storage unit rent apr subscription,Rent
Consulting Card Fee 1So4C Expert Reeview,Professional Services
NORTHSTAR CO usage design tool cloud,Software
NOTEBOOKS FRONT DESK CARD 952129,Office Supplies
ACH sevice payroll for dec,Professional Services
Bluebird Services - Store Pickup - Card 615127,Shopping
monthly paymt office rent from coworking space,Rent
It Support Client Project Inv 631089,Professional Services
jun bank payroll service card,Professional Services
pens and pencils office restock auth N4H1,Office Supplies
rental parking bank garage card car at,Transportation
recurring for broadband bill nov,Utilities
hosting 898244 charge renewal ref seat,Software
business center facility rent suite charge,Rent
aws renewal charge hoting seat,Software
paid meta campgn inv,Marketing
seat hosting charge renewal Slack from,Software
commercial leasee warehouse rent mar manual entry,Rent
oct cloud bill transfer,Software
EMAIL LAUNCH BATTCH PROMO MARKETING OL2NBTD,Marketing
Sep Up Fill Gas Subscription,Transportation
jan client dinner ACH,Food & Dining
apr trash pickup manual entry,Utilities
DEC SERVICE REFUND PAYROLL,Professional Services
refund sale payout marketplace from,Income
card customer purchase invoice received payment,Income
starbucks working lnuch mobile jan pay,Food & Dining
BRAND DESIGN CAMPAIGN INVOICE CARD 320417,Marketing
ATLAS GROUP COMMISSION EARNED CUSTOMER PAID,Income
Office Chairs Staff Supplies Auth W2P0Z,Office Supplies
ATLAS GROUP refund staff event,Food & Dining
refreshments for team meeting auth 8jguz4e,Food & Dining
online utility payment gas charge internet provider,Utilities
CARD PURCHASE FOR BREAKFAST MEETING SEP,Food & Dining
invoice property account from,Rent
monthly from sub plan software MARKET METRO,Software
trade show - content marketing - order MXO4N,Marketing
transfer for advisor fee may,Professional Services
for team meeting coffee from riverstone services,Food & Dining
Online Payment For Lead Generation Nov,Marketing
automatic debit gas utility charge from CLEARVIEW CO,Utilities
Starbucks - Catering Order - Auth 624767,Food & Dining
Recurring Hub Charge Redwood Utility Gas,Utilities
utility payment at water utility ACH,Utilities
invoice for legal consultation apr,Professional Services
CARD PURCHASE INV PORTAL INVOICE PAYMENT RECEIVED,Income
Bluebird Llc - working lunch - order NSJX4FO,Food & Dining
bank card EVERGREEN PARTNERS office chairs,Office Supplies
refund payment oct receievd for invoice,Income
bakery client dinner late meeting,Food & Dining
Seo Agenyc Pos Audience Test,Marketing
client EVERGREEN GROUP from review compliance project,Professional Services
ACH Atlas Llc service charge,Utilities
BANK FLYER META PRINTING CARD,Marketing
space rental storage unit rent from summit hub,Rent
Staples cleaning supply nov ACH,Office Supplies
Bank Card Advisor Review Compliance Compliance,Professional Services
sponsorship platform mobile pay monthly ad spend,Marketing
printer paper office restock order 71922,Office Supplies
advisor fee at redwood group mobile pay,Professional Services
Chckout At Metro Services Manual Entry,Shopping
Office Depot desk accessories office restock,Office Supplies
Bluebird Solutions water bill jan recurring,Utilities
invoice for moitor stand nov,Office Supplies
ach for ink cartridges sep,Office Supplies
PAID INVOICE CONSULTING INCOME FROM RIVERSTONE GROUP,Income
catering order travel day ushf during batch,Food & Dining
BANK CARD FOR TOLL PMT DEC,Transportation
working lunch afetr sales call ref xmoe54,Food & Dining
POS cafe charge during airport wait,Food & Dining
jan ink cartridges ACH,Office Supplies
TRANSFER INTERNET PROVIDER ELECTRIC BILL,Utilities
notebooks area ref admin WXTY6,Office Supplies
bank card marketplace seller misc supplies,Shopping
SILVERLINE entry quick manual LLC run,Shopping
HARBOR LLC - SaaS renewal - card WTTJ8V,Software
Mobile Pay Cobalt Group Office Chairs,Office Supplies
jun design tool mobile pay,Software
invoie for consulting income sep,Income
Instagram Brand Design Campaign Invoice,Marketing
advisor fee at tax preparer card purchase,Professional Services
bank card paper vendor cleaning supply,Office Supplies
CARD PURCHASE INSTAGRAM LEAD GENERATION,Marketing
recurring for subscription software oct,Software
mar bus pass online payment,Transportation
Google Workspace - productivity app - order GZMMPMZ,Software
refund for desk accessories jan,Office Supplies
POS for mo leasee jun,Rent
COBALT CO - MONITOR STAND - AUTH 881951,Office Supplies
cleaning supplier pens and pencils staff supplies,Office Supplies
summit advisor project fee systems client,Professional Services
jan flyer prinnting card purchase,Marketing
refund marketing oct for content,Marketing
toll paymt at lyft recurring,Transportation
ACH for rent payment apr,Rent
silverline group transfer stock up,Shopping
cobalt solutions accounting services monthly retainer,Professional Services
Online Payment For Store Pickup Nov,Shopping
advisor fee support contract batch 523082,Professional Services
aiprort ride at lighthouse hub transfer,Transportation
Card Purchase Bluebird Hub Client Dinner,Food & Dining
card purchase Northstar Co content marketing,Marketing
stripe payout consulting income apr bank card,Income
subscription commute toll client authority,Transportation
paid campaign invoice meta,Marketing
web developer accounitng services jun invoice,Professional Services
business travel toll paymt from HARBOR SYSTEMS,Transportation
Pizza Place Card Purchase During Travel Day,Food & Dining
Advisor Fee At Payroll Provider Recurring,Professional Services
client ride airportt from visit authority toll,Transportation
client card purchase custtomer paid,Income
onlinee payment for team seats,Software
water utility broadband bill late fee included,Utilities
utility payment at broadband provider online payment,Utilities
Recurring For Client Commute Jun,Transportation
Uber Eats refund late meeting,Food & Dining
replacement parts at metro hub subscription,Shopping
pos for accessories oct desk,Office Supplies
Subscription Tool Campgn Email,Marketing
payroll provider it support may pos,Professional Services
subscription email tool campaign,Marketing
Figma manual entry cloud usage,Software
printer ink and paperr,Office Supplies
misc at supplies BRIGHTLINE pay GROUP mobile,Shopping
Staples Supply Transfer Cabinet,Office Supplies
late meeting meal delivery from catering copmany,Food & Dining
aws software subscription nov mobile pay,Software
TRAIN TICKET DOWNTOWN CARD 295517,Transportation
printer supplier ink cartridges mar POS,Office Supplies
invoice advisor business fee consultant,Professional Services
online pmt for replacement partts,Shopping
best order client bulk buy materials,Shopping
Mar Monthly Retainer Income Online Paymt,Income
Compliance Reviiew At Northstar Llc Inv,Professional Services
montly from consulting fee retainer payroll provider,Professional Services
Cobalt Co online payment printer room,Office Supplies
Redwood Systems office lease oct card purchase,Rent
office at group subscription harbor chairs,Office Supplies
sep refund invoice design,Professional Services
dec pickup card purchase store,Shopping
invoicce for email marketing nov,Marketing
sponsor paid invoice revenue sub,Income
Harbor Systems card purchase monthly retainer,Professional Services
after sles call refreshments from clearview llc,Food & Dining
Mar Toner Refill Invoice,Office Supplies
bank card Clearview Systems cloud bill,Software
Monthly Retainer Income Client Payment Ref 151319,Income
northstar hub office lease may ACH,Rent
workspace billing design tool from QuickBooks,Software
mo plan design tool from brightline co,Software
CLEARVIEW LLC coworking rent suite charge,Rent
inv from property account,Rent
Facility Parking At Rent Refund Spacee Owner,Rent
card purrchase general supplies,Shopping
property payment monthly ACH manager,Rent
Ikea - Store Pickup - Batch Gol0W8,Shopping
grabbed coffee for client meting,Food & Dining
gas company - phone plan - auth 278478,Utilities
mobile feb for invoice payment received pay,Income
harbor llc consulting income incoming transfer,Income
Google Workspaec Plan Monthly Ach,Software
bank card train station toll payment,Transportation
jun social media ads manuual entry,Marketing
pizza place catering order may transfer,Food & Dining
APR FACILITY RENT INVOICE,Rent
clearview marekt subscription revenue customer paid,Income
PRINT SHOP EMAIL MARKETING FEB MANUAL ENTRY,Marketing
taxi client 268235 visit batch ride,Transportation
Jun Consulting Fee Recurring,Professional Services
transfer for sponsoored post,Marketing
Subscriptionn For Parking Fee Mar,Transportation
internet power bank at service service card,Utilities
subsrciption revenue at summit hub ach,Income
may toner refill mobile pay,Office Supplies
Seo Agency Invoice Audience Test,Marketing
Team Upgrade Subscription Solutions From Software Riverstone,Software
solid inv oak solutions payment - - received invoice PGLLU,Income
may rent payment online payment,Rent
Monitor Stand 34709 Staff Supplies Ordeer,Office Supplies
Microsoft 365 design tool workspace billing,Software
commercial space space qtmaym rental inv,Rent
CLEARVIEW MARKET audience content marketing test,Marketing
oct store pickup subscription,Shopping
DEC CLENING SUPPLIES RECURRING,Office Supplies
coffee for team meeting auth 352983,Food & Dining
DEC SOFTWARE ENTRY MANUAL SUBSCRIPTION,Software
launch from campaign promo ads Mailchimp,Marketing
General Purchase Furniture From Metro Partners,Shopping
apr card commission earned bank,Income
Feb Pickup Store Manual Entry,Shopping
refund client deposit received,Income
office april paymt lease,Rent
Lead Test Audience 805835 Geneartion Txn,Marketing
lighthouse services manual entry montthly payment,Rent
Audience Test Social Media Ads From Redwood Partners,Marketing
pos for brand design apr,Marketing
recurring property manager rent payment,Rent
apr taxi ride mobile pay,Transportation
ACH Redwod Partners desk accessories,Office Supplies
mobile pay for compliance review apr,Professional Services
transfer toll account to,Transportation
POS airport wait during cafe charge,Food & Dining
cobalt partners subscription revenue customer paid,Income
Starbucks meeting dinner team for client,Food & Dining
oct replacement parts invoice,Shopping
fiber provider bank card account payment,Utilities
recurring lighthouse partners ads campaign,Marketing
feb gas fill up pos,Transportation
SILLVERLINE PARTNERS - PPC campaign - inv V8E0J3,Marketing
gas charge carrier utility mobile at transfer,Utilities
Exxon - bus pass - ref QRSJZO98,Transportation
online jan warehouse rent for payment,Rent
storage facility - monthly lease - card 104212,Rent
warehouse owner office rent mar reccurring,Rent
Nov Meal Delivery Online Paymt,Food & Dining
Mailchimp Flyer Printing Launch Promo,Marketing
developer tool usag cloud ref 164628,Software
monthly at silverline lease market online payment,Rent
Web Developer - Tax Preparation - Card 555614,Professional Services
metered provider service charge from fiber usage,Utilities
STAFF SUPPLIES CLEANING SUPPLY FROM METRO MARKET,Office Supplies
wholesale buyer income purchase card consulting jan,Income
GitHub plan monthly refund,Software
email marketing at SUMMIT SERVICES POS,Marketing
audience test PPC cmapaign from LinkedIn Ads,Marketing
May Refund Rent Unit Storaage,Rent
HARBORR online payment campaign MARKET PPC oct,Marketing
general purchase store pickup from Home Depot,Shopping
ACH broadband provider phone plan,Utilities
Payroll Payment Support Online Service At It,Professional Services
catering company recurring staff event,Food & Dining
may internet service mobile pay,Utilities
notion - developer tool - order dpyn89mr,Software
Subway - Breakfast Meeting - Auth 772222,Food & Dining
tax order preparation project W7UW client,Professional Services
sep office chairs manual entry,Office Supplies
ink card supplies cartridges staff 805589,Office Supplies
jun desk accessries mobile pay,Office Supplies
with coffee from restaurant client,Food & Dining
marketplace payout - commission earne - auth 76784,Income
toner refill staff supplies txn 477126,Office Supplies
law firm - legal consultation - ref g0by,Professional Services
APRIL SILVERLINE FACILITY PAYMENT RENT FROM SYSTEMS,Rent
ach metro partners ppc campaign,Marketing
online feb commission payment earned for,Income
staff supplies ink cartridges from paper vendor,Office Supplies
subscription at revenue customer POS,Income
Storage Unit Lease Auth Invoice F0Ph6Eeg Rent,Rent
content invioce 708173 card campaign marketing,Marketing
Client Onliine Redwood Payment Commute At Partners,Transportation
Transer For Sponsored Post,Marketing
project milestone pmt incoming transfer batch 58314,Income
atlas solutions commercial space may manal entry,Rent
TRANSFER CONSULTANT LEGAL TO,Professional Services
dec payment itnernet online service,Utilities
April Payment Rent Paymt From Suite Management,Rent
Subwaay office snacks jan subscription,Food & Dining
subscription wholesale buyer deposit received,Income
meal SWE1GA6S auth after delivery sales call,Food & Dining
EXXON INVOICE BUSINESS TRAVEL,Transportation
Solid Oak Llc productivity app mar refund,Software
SOLID OAK SOLUTIONS bank card setlement batch,Income
metro station refund downtown,Transportation
ads clearview campaign at group recurring,Marketing
SUMMIT EQUIPMENT MARKET RETAIL SMALL PURCHSAE,Shopping
ACH Atlas Market accounting services,Professional Services
local order general online purchase store,Shopping
course incoming transfer card bank platform,Income
sep delivry bank meal card,Food & Dining
online commute payment desk car rental client,Transportation
HARBOR SYSTEMS - bulk order - card 821011,Shopping
online payment for gas fill up may,Transportation
Solid Oak svc store pickup client materials,Shopping
Ammazon furniture may subscription,Shopping
quickbooks cloud usage pos,Software
April Paymt Warehouse Rent From Suite Management,Rent
cleaning supply admin area ref 815633,Office Supplies
compliance advisor subscription support contract,Professional Services
FURNITURE STOCK UP ORDER 488192,Shopping
ACH for breakfaast meeting mar,Food & Dining
notebooks at cleaning suplier bank card,Office Supplies
taxi service rental car apr recurring,Transportation
POS Atlas Solutions refreshments,Food & Dining
project invoice compliance reviwe from COBALT PARTNERS,Professional Services
general purchase electronics from RIVERSTONE LLC,Shopping
ads invoice campgn 412058 auth campaign,Marketing
transfer for online order may,Shopping
invoice for advisory rveiew,Professional Services
metro market furniture for office setup,Shopping
refund for productivity app oct,Software
Google Ads - content marketing - txn 30058,Marketing
to meeting train ticket from Shell,Transportation
Taxi Ride Airport Trip Card 19622,Transportation
Jan Commercial Space Manual Entry,Rent
atlas group - replacement parts - txn GMNH,Shopping
storage unit rent suite charge order 458388,Rent
Exxon ACH business travel,Transportation
PROJECT MILESTONE PMT AT CLIENT RECURRING,Income
Hubspot Email Marketing Audience Test,Marketing
SILVERLINE BRAKFAST ORDER MEETING - SYSTEMS - 6ZL1K,Food & Dining
ELECTRIC BILL AT SILVERLINE GROUP REFUN,Utilities
SOLID OAK MARKET transfer monthly pmt,Rent
warehouse owner card purchase apirl payment,Rent
Notebooks At Kitchen Supply Store Manual Entry,Office Supplies
sponsorship - auth - media ads platform 850214 sociial,Marketing
staff event team lunch from catering company,Food & Dining
ATLAS MARKET replacement parts jun bank card,Shopping
social media ads at Instagram card purchase,Marketing
Card Purchase Coworking Spacee Office Rent,Rent
business center storage unit rent suite charge,Rent
Mailchimp POS retargeting,Marketing
feb monthy retainer income manual entry,Income
Home Dpeot - Store Pickup - Txn S3Jonou9,Shopping
Silverline Group Monthly Lease Space Rental,Rent
REDWOOD CO design tool mar subs,Software
online payment LIGHTHOUSE PARTNRES payroll service,Professional Services
equipment accessories - suppliier desk 504948 - card,Office Supplies
CUSTOMER PAID SERVICE REVENUE FROM HARBOR PARTNERS,Income
Support Contract Advisor Fee From It Support,Professional Services
recurring for payroll service oct,Professional Services
parking garage airport ride to meeting,Transportation
catering company subscription with client,Food & Dining
Mobile Pay Zoom Hosting Charge,Software
Apr Replacement Parts Online Payment,Shopping
business april center payment POS,Rent
TRANSFER FOR CHECKOUT DEC,Shopping
redwood sale services customer paid product,Income
Redwood Card Today Due Purchase Solutions,Rent
metro llc service revenue nov pos,Income
EVERGREEN LATE RECURRING SOLUTIONS PICKUP,Transportation
SOLID OAK CO payroll service jun mobile pay,Professional Services
apr trash pickup bank card,Utilities
bank card for phone plan sep,Utilities
retail purchase at Target manual entry,Shopping
harbor market toll payment sep inv,Transportation
consulting 983897 deposit income inv revenue,Income
Hubspot Subscription Campaign Invoice,Marketing
subs revenue paid invoice inv km90iju,Income
PAID PROMOTION RETARGETING CARD 108320,Marketing
recurring for deposit received dec,Income
silverline llc refund suite charge,Rent
redwood systems commercial space oct online paymt,Rent
store card pickup up stock ieixwc,Shopping
notebooks office restock auth HO18UR,Office Supplies
seat renewal team license from Bluebird Group,Software
pizza inv breakfast place - - meeting C7TB,Food & Dining
RECURRING HUBSPOT CAMPAIIGN ADS,Marketing
mobile cleaning supplier pay ink cartridges,Office Supplies
FIBER PROVIDER UTILITY SERVICE PMT PERIOD,Utilities
recurring platform media ads sponsorship socia,Marketing
TRANSFER HARBORR SERVICES MONTHLY LEASE,Rent
payroll service at HR consultant mobile pay,Professional Services
cobalt solutions - electric bill - order P84JRH,Utilities
invoice for refreshments apr,Food & Dining
oct online order subcsription,Shopping
monthly 0e26ps suite card charge lease,Rent
proffessional fee tax preparation from compliance advisor,Professional Services
internet provider invoice monthly office bill,Utilities
may coffee POS,Food & Dining
coworking rent monthly payment ref G24AF8QM,Rent
compliance advisor ach project invoice,Professional Services
Sep Office Chairs Recurring,Office Supplies
sep lead generation recurring,Marketing
Support Service Payroll Developer Contract Web From,Professional Services
ACH SILVERLINE SOLUTIONS design tool,Software
manual entry for invoice payment received dec,Income
automatic debit service charge from solid oak market,Utilities
customer commission earned revenue deposit,Income
office april lease payment,Rent
summit market - toner refill - card 610388,Office Supplies
Redwood Services catering order with client,Food & Dining
seat renewal developer tool from Notin,Software
feb manual ticket train entry,Transportation
Subs For Accounting Services May,Professional Services
DoorDash client dinner for team meeting,Food & Dining
PAPER VENDOR MANUAL ENTRY FRONT DESK,Office Supplies
ACH SOLID OAK SERVICES PRINTRE PAPER,Office Supplies
card Etsy retail purchase purchase,Shopping
retargeting maillchimp from lead generation,Marketing
Transfer Financial Advisor Consulting Fee,Professional Services
power service gas utility charge sep mobile pay,Utilities
Sep Hosting Charge Online Payment,Software
bank card Lyft parking fee,Transportation
Brightline Group - Taxi Ride - Batch 566455,Transportation
transfer local furniture store,Shopping
facebook ads content marketing launch promo,Marketing
online payment for toner refill dec,Office Supplies
LEAD AUTH 464204 PROMO GENERATION LAUNCH,Marketing
powr service internet service nov invoice,Utilities
COBALT consulting jun POS fee SOLUTIONS,Professional Services
misc supplies general purchase txn 628127,Shopping
recurring ads campgn Mailchimpp,Marketing
online charge oct gas pmt for utility,Utilities
content marketing at HubSpot subscription,Marketing
dec payroll service invoice,Professional Services
uber refund to meeting,Transportation
ONLINE PAYMT FOR TAX PREPARATION JAN,Professional Services
manual entry SILVERLINE GROUP flyer printing,Marketing
furniture outlet POS admin area,Office Supplies
mar bus pass bank card,Transportation
Amazon Sub General Purchae,Shopping
NORTHSTAR SYSTEMS service charge may POS,Utilities
client POS co dinner at redwood,Food & Dining
Manual Entry For Internet Servce Oct,Utilities
Starbucks subscription late meeting,Food & Dining
apr utility payment refund,Utilities
Toll Payment Business Travel Batch 443924,Transportation
transfer for taxi ride sep,Transportation
jan catering order subscription,Food & Dining
Figma cloud bill seat renewal,Software
oct ads campgn mobile pay,Marketing
campgn inv content marketing from SEO agency,Marketing
COSTCO RETAIL REFUND PURCHASE DEC,Shopping
ACH LOCAL CAFE OFFICE SNACKS,Food & Dining
oct consulting income manual entry,Income
LIGHTHOUSE CO phone plan metered usage,Utilities
may lunch online working payment,Food & Dining
Metro feb Hub recurring catering order,Food & Dining
SUMMIT HUB RECURRING MONTHLY RETAINEER,Professional Services
JUN COMPLIANCE REVIEW BANK CARD,Professional Services
jun design tool subscription,Software
clearview incoming transfer subscription co revenue,Income
INVOICE REDWOOD MARKET TRAIN TICKET,Transportation
harbor solutions storage unit rent space rental,Rent
riverstone co - saas renewal - order 235422,Software
gas company invoice monthly office bill,Utilities
Prinetr Ink And Paper,Office Supplies
IT support - legal consultation - batch TFKS2,Professional Services
manual entry company gas utility paymnt,Utilities
refund Uber train ticket,Transportation
audience generation from lead shop print test,Marketing
Facebook Ads transfer retargeting,Marketing
MARKETPLACE PAYOUT COMMIISSION EARNED OCT TRANSFER,Income
TOLL AUTHORITY JAN PAY MOBILEE PARKING FEE,Transportation
JAN CLEANING SUPPLY ACH,Office Supplies
HARBOR rent paymt april HUB warehouse,Rent
OFFICE LEASE PMT APRIL,Rent
CHECKOUT AT CO NORTHSTAR REFUND,Shopping
subscription account internet charge,Utilities
office rent space rental batch 660256,Rent
LYFT BUS PASS BUSINESS TRAVEL,Transportation
HARBOR MANUAL PROJECT MARKET ENTRY CLIENT,Professional Services
printer supplier - notebooks - order 160794,Office Supplies
affiliate network invoice settlement batch,Income
toll authority taxi ride downtown,Transportation
evergreen co manual entry pro account,Software
team license pro account txn 946888,Software
online retainer LIGHTHOUSE payment income mo PARTNERS,Income
Shell 254088 - batch fee - parking,Transportation
feb payment invoice received refund,Income
replacement parts quick run batch U9RN8,Shopping
payroll service 715328 auth retainer monthly,Professional Services
ACCOUNT PAYMENT ELECTRIC BILL FROM WATER UTILITYY,Utilities
manual entry for accounting oct svcs,Professional Services
admin area monitor stand from desk storre,Office Supplies
nov team card lunch purchase,Food & Dining
Ebay Electronics Small Equipment,Shopping
SEP CATERING ORDER SUBSCRIPTIOON,Food & Dining
incomiing transfer deposit received from marketplace payout,Income
audience test flyer printing from trade show,Marketing
team license cloud usage order 246947,Software
Service Subscription At Sewer Utility Charge,Utilities
Mobile Pay Atlas Co Paid Promotion,Marketing
BANK CARD SUMMIT HUB RETAIL PURCHASE,Shopping
SUBWAY - BREAKFAST MEETING - BATCH 0V4PSC,Food & Dining
jun subscription toner refill,Office Supplies
retainer client service revenue customer paid,Income
summit systems subs revenue deposit,Income
retainer client pos paid invoiec,Income
PPC haarbor at solutions transfer campgn,Marketing
service revvenue at wholesale buyer ach,Income
Harbor toner jan Group refill POS,Office Supplies
transfer customer from account,Income
bulk order at redwood partners subs,Shopping
brightline llc - gas utility charge - order 0LR3OO,Utilities
office landlord - warehouse rent - ref 604666,Rent
Power Service Utility Payment Jan Invoice,Utilities
pos brightline group gas fill up,Transportation
PPC campaign at northstar partners inv,Marketing
POS web developer tax preparation,Professional Services
EVERGREEN - BKDH MARKET content marketing - txn,Marketing
EXXON BANK CARD CLIENT VISIT,Transportation
sewer utility trash pickup oct refund,Utilities
replacement order parts equipment 8CD31N small,Shopping
misc Services Summit at bank supplies card,Shopping
business rent warehouse rental center space,Rent
taxi service - client commute - card 931143,Transportation
gas company - internet service - auth 842300,Utilities
sep breakfast meeting card purchase,Food & Dining
Automatic Debit Water Bill From Riverstone Solutions,Utilities
monthly plan design tool from ATLAS CO,Software
BLUEBIRD renewal - - Y5LCEIS inv SaaS PARTNERS,Software
jun paid promotion ACH,Marketing
settlement consulting stripe from payout income batch,Income
airport parking - fee - auth 256674 parking,Transportation
sewer account bill pyament utility broadband,Utilities
advisor fee monthly retainer card NCUIO9T,Professional Services
redwood systems catering order late meeting,Food & Dining
business - txn AGXBBI rent facility center -,Rent
Clearview Solutions card purchase workspace billing,Software
With Client Coffee From Catering Company,Food & Dining
coworking space office rent jan invoice,Rent
pizza auth - place team lunch - x5bwaen7,Food & Dining
service revenue at bluebird hub recurring,Income
TARGET REPLACEMENT PARTS SMALL EQUIPMENT,Shopping
mar ink cartridges online pmt,Office Supplies
silverline ACH co materials client,Shopping
Online Payment Business Center Facility Rent,Rent
card purchase for developer tool jan,Software
project invoice tax preparation from summit co,Professional Services
SOLID OAK SYSTEMS - LEGAL CONSULTATION - CARD 178171,Professional Services
INVOCIE FOR ADVISORY REVIEW,Professional Services
rental car desk parking fee airport trip,Transportation
Ppc 612431 Batch Campaign Launch Promo,Marketing
accounting firm it support apr invoice,Professional Services
online paymentt for hosting charge jun,Software
invoice payment received at sponsor mobile pay,Income
Equipment Area Cartridges Admin Ink Supplier,Office Supplies
metered usage from bill provider broadband fiber,Utilities
Google transfer Ads post sponsored,Marketing
client dinner at restaurant online payment,Food & Dining
consulting compliance at advisor refund fee,Professional Services
jan transfer phone plan,Utilities
client invoice received payment,Income
RESTAURANT BREAKFAST MEETING MAR TRANSFER,Food & Dining
broadbaand bill office payment monthly online provider,Utilities
Clearview Solutions Transfer Downtown,Transportation
cloud bill at github pos,Software
refund order from marketplace,Shopping
toll refund uber payment at,Transportation
late sewer fee broadband utility bill from included,Utilities
CARD PURCHASE BRIGHTLINE GROUP SOFTWARE SUBSCRIPTION,Software
PAYROLL SERVICE AT COMPLIANCE ADVISOR POS,Professional Services
transfer account from customer,Income
meal delivery staff event txn 773688,Food & Dining
STARBUCKS ACH STAFF EVENT,Food & Dining
Transfer For Advisor Fee Oct,Professional Services
client commute at toll authority card purchase,Transportation
TRANSFER MEDIA ADS META SOCIAL,Marketing
